Data,,,,,,,,,,
Eastern Cape,Free State,Gauteng,Kwazulu Natal,Limpopo,Mpumalanga,None,North West,Northern Cape,Western Cape,Total Result
615,264,3276,1059,666,848,228,307,212,1670,9145
